,Reviews,Rating,Company
0,Humana offers so much more than just medical coverage. They have so many different ways of offering at no cost preventive activities and other help lines. I have been with Humana for years. They have went out of their way to suggest and assist me in getting extra help medically and financially. They’ve introduced me to so much extra help that I didn’t know existed or was eligible for.,5,Humana
1,"For the most part I am satisfied with my health plan. The payments they have made are fair with the exception of my copay for physical therapy. $40 per session is too much. Prescription part of my plan is good and there is no copay this year for my PCP. They offer OTC allowances from their catalog 4 X year, reduced or zero dollar mail order prescription copays and free membership in the SilverSneakers fitness program.",4,Humana
2,"Humana has included very good insurance support for myself during this past year. They also have included few & higher options compared with other insurance companies. But negative activities unfortunately being included for myself, was not including enough of medical Drs within my area while including Neurology. I am also emphasizing that few telephone representatives were unfortunately overseas or speaking improperly within our English language, that also hurts me a lot.",4,Humana
3,"So I got this insurance about 28 days ago. I did careful research. In the last 28 days I have gotten a 200.00 pair of glasses. Got my teeth cleaned. Went to my an eyeglass script. All at no cost to me. I also talked to customer service and got a great person to take care of one issue. Not sure about why there are so many 1 stars? So are trivial, though. And as a general rule people only complain on many sites like this.",5,Humana
4,"I have had Humana for my Medicare part D program and couldn't be happier. Now, keep in mind I am only on one drug. But their automated phone service calls me regularly and reorders my monthly medicine with a few clicks... DONE. I am very happy with them, although they raised their price this year. But after looking at other plans, I think I will pay a few dollars more and keep Humana... don't want to invite hassle! Hope this helps you.",5,Humana
5,"I have had Humana Dental several months now, paying close to $60 per month for my coverage. During this time I have never received any proof of coverage or any form of an Insurance ID. I also phoned around asking different Dentists if they accept this insurance. Even Dentists Humana says are in the Network. Well I was told over and over the coverage is useless. So I ended up cancelling my policy. Why should I pay for insurance that covers nothing and is useless. So several months I have wasted my money. Humana customer service agents barely spoke English. And talk about rude. The agents are horrible. Humana is an Insurance Company I sure as heck don't trust. I'm glad to be rid of them!!",1,Humana
6,Last week I had Roux-en-Y gastric bypass surgery. The doctor prescribed liquid ** for pain control. Humana denied the liquid saying they allowed tablet form. Humana apparently does not understand bariatric patients cannot take pills following surgery. I had to crush it to take it.,1,Humana
7,"My wife has been diagnosed with cancer. She had appointments through two different doctors (oncologist and radiology oncologist) for chemo and radiation which must be run concurrently. First Humana would not authorize one of the chemo meds, which cause us to delay treatment several days. Then Humana refused to authorize two radiation treatments a day. This caused another week of delay in treatment. Both authorization were finally authorized. BUT the patient should never suffer through this bureaucracy especially when faced with cancer where every minute is precious when treatment is concerned!",1,Humana
8,"Humana Pharmacy has absolutely the WORST CUSTOMER SERVICE ever. The agents can NEVER answer my questions or give/provide a direct answer. I have called numerous times about the same issue - sometimes being on the phone/hold/transferred around for as long as 1 hour and 6 minutes, only to have the problem reoccur every month. My doctor has called and filed paperwork to have the problem resolved, but after over a YEAR NOW, it is not resolved. As soon as I can, I am dumping Humana. I have overpaid thousands of dollars because of their incompetency, mistakes and utter lack of organization. Today, for the 12th time, I have been on hold FORTY MINUTES TODAY AGAIN WITH NO RESOLUTION. There are much better choices out there for prescription drug coverage.",1,Humana
9,"I made a total of 4 calls, talked to 7 people and they think it's ** funny to play games and not just change my address. I'll never get my mail from them again because God forbid they just do their job. If you can avoid this company they are 100% useless.",1,Humana
10,"I had to pay out over a thousand dollars for my son's oral surgery back in December of 2018. I have personally faxed (2/7/19) and certified mailed (2/12/19) the claim with ALL x-rays and op notes. Imagine that we are halfway through May of 2019 and it still isn't processed. I have called and discussed this as follows: 1/23/19 spoke to Nicole (processing), 2/15/19 Mckalaya and Kyle (processing), 2/25/19 Nicole/supervisor (processing), 3/8/19 Ann called me said she was sending it up to Corey to process in 5-10 days. 3/15/19 Regina (processing), 3/22/19 Faith and Melissa supervisor (processing), 4/15/19 Jacob and Crista supervisor (processing), 4/22/19 Mia and Jay ** (processing), 5/6/19 Ben (processing) sending for rush, 5/17/19 Stephanie and Melisa supervisor Still processing and sent to Rush. I worked at insurance and paid claims and this is the most pathetic claims processing I have ever seen.",1,Humana
11,Have enjoyed my various experiences. For example when my wife was in the hospital (dying) they were right there. Having a nurse come around every so often. They were always pleasant and thorough. Never had any troubles with prescriptions.,5,Humana
12,"Two hours on the phone being transferred dozen times...I need a drug not on the formulary. The drug on the formulary will kill me, the one I need will help me.. They ultimately hang up on me several times.. The first person Shanice was rude, arrogant, condescending and hung up on me.. People at Humana are like government employees.. They do not care.. I had my doctor here to prescribe the meds.. They hung up on him.",1,Humana
13,"Avoid Humana if you possibly can. My providers hate it. My dentist was on hold for 2 hours with Humana today and finally had to give up when it was office closing time. I had to wait a month for a pre-approval even though I said I was having quite a bit of pain. Their OTC is a joke, providing $35 a month and really skimpy choices in the OTC pharmacy, through which you have to order online. One other review that I saw said providers groaned when they heard they would have to deal with Humana. I actually saw that happen today. Save yourself some stress and go elsewhere.",1,Humana
14,"If you are healthy and young, Humana may be good for you but EVERY healthcare professional we have encountered (and that's A LOT) moans when they discover my parents have Humana. If you don't need rehab, you might be ok, however parents have been denied extended rehab even when doctors and therapists recommend more. CHOOSE ANOTHER COMPANY!!!",1,Humana
15,Acute Bronchitis. Prescribed **. Needed pre-approval and was denied. Emergency room visit. Prescribed **. Need pre-approval. Went to my Primary care doctor. Explained why and what. Took 1.5 hours and 3 hang ups before Humana provided all the info necessary. Denial letter received 19 hours later. Humana had no intention of approving. Meanwhile I was coughing until I vomited or passed out. Borrowed money from my grocery fund to pay for it. With coupon from GoodRx I paid less than $12 for a nearly $50 medication. I have been warned by 2 pharmacies that Humana doesn't like to do pre-approval meds. Too bad zero stars isn't an option.,1,Humana
16,Had this insurance for over 2 years through Marketplace. I was going to a specialist and insurance paid their portion. Fast forward a year and they refused to pay for my specialist that year so I argued with them. They kept on changing their excuse for not paying. I finally had to pay the whole bill. Last year this insurance was no longer available in my state. About 3 months later my Dr sent me a bill from 2 years ago (insurance and I paid our share). Come to find out 1 1/2 years later they decided not to pay this and took their payment back. No notifications to me nothing. ,1,Humana
17,"Just stay away from this company. They conveniently forget to to tell you what is in network, and out of network. Consequently, I got charged 100.00 for my psychotherapy. Medicare alone, copay is less than 25.00 for this service. Stay away from this company.. One",1,Humana
18,"When I call Humana pharmacy customer service, I go through the chain of 5 answers only to find out their pharmacy is closed and to call back during regular business hours. The problem is they never tell you in their recorded message what their regular business hours are!! What kind of customer service is that?",1,Humana
19,"I tried to find an in network dentist, from list on Humana website. When I called dentist offices said they no longer accepted Humana or advised me that Humana covered basically nothing! Called Humana membership # 4 times. Got only recorded voices asking same questions over and over. Finally thought I was being transferred to a real person, but phone went dead, nobody answered. Website lists services covered but this is just for advertising, must submit claim, then they'll tell you if you're covered. Then it's too late, you're on the hook for the bill!",1,Humana
20,This insurance has been a nightmare from the start. Referrals mean nothing as authorizations are also needed with referrals. Insurance Company seems never to get the requests that the doctors assure me they sent. Customer service is horrific. Getting to see a specialist and getting tests done is not going to happen with this company. Best they're going to tell you is sure they're working on it. Will let you know that never happens. Just found out that the colonoscopy I was scheduled for has not been authorized. Nobody was going to let me know. I am glad I called before I went through the horrific prep that you have to do before a colonoscopy. Do not buy this insurance for yourself as you will be sadly disappointed.,1,Humana
21,"I signed up for Medicare Drug Plan D with Humana in 2015. They set up payment for the plan via my credit card and input a wrong expiration date in their system for my credit card. Their system stopped charging my card for payments even though the card HAD NOT EXPIRED. Consequently Humana terminated my policy for non payment and now they refuse to re-instate even though all payments were paid as soon as I discovered their error (paid with the exact card they said was expired). The customer service staff, enrollment staff and sales department staff were ALL VERY RUDE and blamed me for THEIR error. ",1,Humana
22,"I was with Humana twice and it was a nightmare. I could not get a referral and I was sick with cancer. When I finally got a referral (over a year trying) I was sent to a wonderful Dr that had to biopsy me right away. When I went back to get the results of my biopsy, I did not have a referral? I refused to leave, and waited over an hour for Humana to allow my visit. It was grade 2 adenocarcinoma and I was sent to Moffitt Cancer Center. I had the worst experience after the surgery and got away from Humana for good. I should have sued them! I had many more horror stories about this awful excuse for health care, but it would take pages and pages. The best part? The bill! Outrageous amount! Now I see that I am signed up for Humana again, this will not be allowed on my part. I feel safer using my own choice.",1,Humana
23,"Terrible customer service oriented department, I spend over 1 hour and 45 minutes between two phone calls with regards to a copay for a prescription with an extremely HIGH COPAY, finally I was told because my plan was RESTARTED only 2 months ago (have been insured for over 10 years with Humana Gold) I didn't have any right for a reduced/waive deductible. HUMANA IS THE ONLY COMPANY IN THE INDUSTRY THAT DOESN'T VALUE LOYALTY. ""SHAME ON HUMANA.""",1,Humana
24,"Decent coverage but patient pay is a lot more than it used to be for seniors. Tests that you need as a senior such as lab work, certain X-rays are not covered under the current medicare plan offered by Humana. The billing departments border on harassment when requesting payments.",4,Humana
25,"There's so many bad things... Where to start? First no one in Huntsville, Al. accepts this Ins. They won't pay. No one can understand you on their call line if you speak english. I spent 3 days just trying to get info. They or their phone service keeps hanging up on you after holding for 30 mins! Just look for any other Dental Ins... I don't know about the Medical.",1,Humana
26,"I would not recommend this company to anyone. I have yet to get a return call from a manager who promised on 2 occasions to research and resolve the issues, which never happened. I spent HOURS on hold, tried to reach someone at corporate only to be treated rudely by the receptionist and not transferred to anyone. This is stems from an error on THEIR end, not mine, which is documented in the notes. However, if you do try to call their offshore customer service line, you get someone who only reads a script, can barely understand and doesn't help at all. THE WORST EXPERIENCE.",1,Humana
27,"My sister Vickie suffered from a terrible fall last year. Unfortunately, she went into a coma and was on life support for two months. Tristar Medical Center in Nashville gave her great compassionate care. I wish I could say the same for Humana Insurance. Ironically, my sister sold insurance for many years and was a top producer. The hospital informed us that Humana had denied any help with long term care, stating, ""That she will not improve."" A few weeks later she awoke and Humana's response was again a ""DENIAL"" for any assistance. In my book, this is called FRAUD. Please warn others not to purchase any policies from this company. We will be filing a complaint with the state of Tennessee's Attorney Generals office. A caseworker with Tristar Hospital told me, ""Your sister would have been better off if she wouldn't have purchased that policy, we see this from that company all the time.""",1,Humana
28,"Needed a psychiatrist for depression. Can't find one within 50 miles. All names on their list either won't take Humana anymore, or never did or are rated very poorly. Guess I can't find help when I really needed it. Complained once, gave them responses from the doctors about a year ago. Still on the list. They just don't care and are very incompetent. HELP ME!",1,Humana
29,"I purchased Humana Military CHCBP as a COBRA after going off Tricare. It was sold as a product that ""mirrored Tricare Standard"" in terms of providers, coverage and rates. And in fact, that's how it worked for me from 2/2016 through 12/2017. However, starting in January of 2018, they moved their billing department from Tricare South to Tricare East. For the next 13 months until I disenrolled 2/1/2019, all my claims were wrongly processed as out-of-network because I am in Colorado. ",1,Humana
30,"I never used my dental coverage for over a year and got a cavity and called Humana dental and they called the dentist office and were told all Humana customers were on hold until May 1st due to Humana not paying their bills. My second choice was going to a clinic which I was not willing to do. Getting help from anyone was very difficult and sometimes very hard to understand over the phone. I spent hours over the phone, many, many return calls and still waiting to be able to go to the dentist that they chose. Would never recommend this dental coverage!!!",1,Humana
31,"Minimal coverage of prescriptions... They are not interested in preventing problems but spend our $ on a 'wellness' program which sucks. They want to send out a doc to weigh me and measure blood pressure but will not cover ** nor ** injections to prevent and improve on my osteoporosis as just an example. Going to a specialist is also cost prohibitive.. Last year is was a $50 copay, this year a $40 copay...",2,Humana
32,Just called Humana for explanation of denial of payment to a service provider. Was asked for call back number in case of disconnect. 15 minute hold. Disconnected. No call back. And this is not the first time. Or the second. Was calling having received letters from Humana of denial of payment for services rendered when I had called on the phone for confirmation of benefits and provider in-network. (I always call 3 different times to get 3 different reps and go with what 2 out of the 3 say. The website is no guarantee of accuracy.) This is the last time. Now shopping for new coverage.,1,Humana
33,Their customer service is something to be desired. You get transferred so many times and have to repeat the same thing over and over again. It becomes quite trying! I just recently found out that CVS Pharmacy completely overcharged me for a prescription that should have cost $10.00. I paid $39.00 for it. CVS has a bad habit of that I have just recently found out also. By the way this is their Drug plan not health.,3,Humana
34,Finally a salesperson I could understand completely! The knowledge of finding me a better policy and then explaining it to the max and answering all my questions. Even saved money every month for more value.,5,Humana
35,Switched from one provider in Humana Gold Plus to another due to incompetent nurse practitioner and lack of professionalism. Loved my new doctor after one visit which included discussion of treatment for pre-diabetes. Agreed to try a statin when she told me she would be fired if she didn't prescribe one due to high cholesterol. Received a call one week later from nurse advising medical director was ordering me to take 2 ** which was twice the dose prescribed by the doctor and 4 ** which was 4 times the dose prescribed by the doctor. ,1,Humana
36,"Five years ago I had a major heart event. Humana was right there for the emergency care, through an induced coma and aftercare with visiting nurse and food sent to my door. Through the following years Humana has provided excellent care and followup.",5,Humana
37,I was totally mislead about the change from Medicare to Medicare Advantage. If I could change today I would. In the zest to make a sale the explanation of the change was totally short of the realities.,1,Humana
38,"The copays were too high, cost of insulin was ridiculous, the case managers never knew what was going on with you. Switched case managers almost monthly, it was difficult to get insulin for my pump under Part B Medicare.",3,Humana
39,"My doctor ordered a prescription through Humana and Humana kept sending emails that this order required my approval. Five days later no answer to any email and final a Humana Rep said the site was down and maybe my doctor could give me samples of the blood pressure med till they got it together. The next rep ordered the meds and said it would be shipped overnight. I next find out they are out of this prescription and will send it when they get. Did arrive, so next Humana Rep sent me to CVS for the prescription, which a $15. This was after speaking to eight persons at Humana. 10 days later. They simple are not functional.",1,Humana
40,"The fees go up and the covered services drastically disappeared. For a retired Military family who have no choice this is despicable. We no longer are eligible to receive Optometry care, Dental Care, and almost all tests and frankly critical preventive heart and other care are routinely deemed 'unnecessary'.",1,Humana
41,"So far I have been totally pleased with the service. I am facing some major surgery, I'll know more about my feelings after that process. The pharmacy service is excellent and very prompt. It is very easy to keep in touch with them about my needs.",5,Humana
42,Medicare Gold Plus plan with prescription coverage. Referral process is cumbersome. Large selection of doctors and specialists and no co-pays in many instances. I am very satisfied with my Medicare and prescription drug coverage.,4,Humana
43,"Humana is very popular among Medicare recipients but I found the price that you paid for their services was not a good value. Their co pays were higher most, the local rep was hard to reach and when I called into customer service I always had long waits before I was able to speak to a rep. Their drug plan was good but I only have 2 prescriptions a month so that wasn't helpful to me.",3,Humana
44,"Why are not all insurance overages transportable from state to state, region to region? Why is there different forms for each company? Why so many tier drug levels? Why is dental not considered medical and appropriately covered?",3,Humana
45,I have been with Humana for only 4 months but so far I am very pleased. I have IOLA primary care under this plan and they have been very nice to deal with. I have received referrals promptly from my PCP and Health Coach.,5,Humana
46,"They inundate you with paper, every month. What can put in a sheet of paper (front &back) takes them 12 pages. Every month. They also inundate you with nonsense phone calls, even when you opt out. It seems the opt out only lasts for a month, then they start calling you again.",3,Humana
47,"Great if you have 40 hours a week to spend on the phone with them. I’m not used to being lied to. Time for them to approve a referral was min 30 days up to 5 months. They seemed to go out of their way to deny care, deny you spoke before, or deny your doc sent paperwork. What a great business model. Collect insurance premiums and then refuse to authorize service. “No, you’ve never requested that before. We don’t have any paperwork. We don’t know what you’re talking about.” That way they never have to officially deny a claim or deny service.",1,Humana
48,"I had surgery and had to pay money out of my pocket. Plus they claim I owe $1,000.00 which I don't understand why. I don't have money like that but, at least I thought it would have been paid. Please tell me what's going on and help me. I been on my job for awhile now and money coming out of my check every pay period. I just don't understand. I do need the help from them.",3,Humana
49,"Doctor cannot get paid to do a standard blood test. Must go elsewhere, why can't the doctor in a HMO get paid for a blood test when other doctors that take the same HMO can get paid for a blood test? Must you get a PPO? They don't tell you this before they give you the policy.",3,Humana
50,Humana has taken good care of my medical expenses to a degree. I do have a serious issue about them not caring that monies are being stolen from them by health care professionals. For the simple fact when they are billed that means I am billed and I refuse to allow people to steal from me. Especially when it is the same doctors that refuse to treat me.,3,Humana
51,"At times over the last 6 years Humana & staff has helped my husband & I more than any other organization. He has had a nurse come to our home, food delivered when we were broke, prescriptions at no copayment and so many other things to help that it's been unbelievable.",5,Humana
52,They need to provide prescriptions that work and not sugar pills. Getting at least 3 of mine from Walmart and CVS as Humana's are no good. All are pills relating to blood pressure and heart. Did not have this problem when using Blue Cross.,3,Humana
53,I want the extra help Insurance the dental. I cannot find anyone that accepts this insurance to redo my dentures. And these glasses ended up costing me old hundred dollars out of my pocket. I do not like that at all. I am very dissatisfied with the extra help. As far as paying for my medications fantastic. I love what it pays on copay and my medical doctor.,4,Humana
54,"I'm on disability and cannot afford the cost of meds through them... When comparing most were $0. When I receive them, some are up to $26. The deductible is too high therefore I cannot receive the care I need. I am almost 60 and would love some TRUE advice on a better plan.",3,Humana
55,"Despite repeated attempts to tell Humana I am not interested in their dental plan, they continue to harass me with unwanted mailers. I have asked them to remove me from their mailing list but the junk mail just keeps coming. After reading the reviews of this company, the people I really feel sorry for is the members. Thank goodness, I'm not one of them. ;-)",1,Humana
56,My nose doctor told me I need surgery. Humana has yet to approve my doctor request for surgery because I don't want to work with a nurse. I am not 50 or older. They don't care about their clients at all. Fyi all.,1,Humana
57,"NEVER HAD A PROBLEM THAT COULD NOT BE SOLVED. They cover all my hospital bills and X-rays, etc, have rides to hospital and doctor's app. Never had problem with understanding the bills, and questions I have. Can get answers on net also.",5,Humana
58,It is ok and health insurance is hard to get and the companies don't do all that they should for their clients or customers... Health insurance is very expensive and it doesn't cover nearly as much as it should.,4,Humana
59,"I could probably go on forever with how horrible Humana has been since the government has switched the Tricare North region under their care. My last pregnancy I had multiple doctors appts with the same doctor, at the same location, every time. My base messed up my active duty status (their fault) and it took almost a year to get corrected. Unfortunately, I had an ultrasound (SAME PLACE AS ALL THE OTHERS), during the timeframe I was shown as not active (when I was). It took a year to get Humana to finally acknowledge and approve my claim. Only for some reason, they only paid half of the claim. I'm active duty military and part of my entitlement is full coverage so there is no reason why they should only have covered half of it. I gave up fighting that battle as it no longer became worth it (couple hundred down the drain...)",1,Humana
60,I was ran around several times from this insurance company for their HMO dental plan. I can't believe that a business as big as this (maybe that's the issue) just runs people around. They made me wait two days before being assigned to a dentist and then me and the dentist's office kept waiting for them to assign me. Wasted about 45 minutes each phone call with Humana. If it wasn't for my school paying for this company I would not have them. I will be seeking out a new company after my insurance is up in June.,1,Humana
61,"Not only is it completely frustrating dealing with Humana on the phone but the amount of confusion they intentionally cause is incredible! In my area they sub my coverage out to another company, the sub company is great but they dont share information with each other. So if I want to see a specialist I have to get approved by a company that I never chose to be involved with. When it comes to prescriptions, forget the fact that your doctor completed medical school and sees you in person in his or her office because Humana will decide what medications you can and can't have. ",1,Humana
62,"Worst insurance ever. Half of the customer service reps barely speak English. I finally got fed up with one very rude person who simply could not speak the language. When I asked to speak with her supervisor, she refused to put me through. Another rude rep put me on hold for almost half an hour. My phone battery ran out, so I lost the call. This company covers next to nothing, and whatever claims are submitted, ALWAYS come back as being charged more than what Humana believes is reasonable. We had a $5,000 deductible with a $7,500 family limit. Two years in a row, our out of pocket was in excess of $15,000.",1,Humana
63,I will change my insurance away from Humana during next enrollment. I have had far too many difficulties with them as compared to other carriers. I will pay much more to a different carrier just to get reasonable service.,1,Humana
